H2_rfr_pred,CO_rfr_pred,CO2_rfr_pred,CH4_rfr_pred,Lower heating value_rfr_pred,Char yield_rfr_pred,tar yield_rfr_pred,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield
0.3285136228573202,0.541220886362632,0.4864099312607139,0.38070672498413877,0.6089511966771515,0.7034561929629622,0.12319071588366876,0.36870811943443615,0.6512103316298182,0.3488007994429845,0.36431983309180416,0.6773977619045264,0.5333333333333333,0.06793437733035049
0.08537561292272372,0.6304375428220494,0.6878783294455828,0.32799238942400727,0.0955312118523646,0.21263333333333354,0.0009213273676360919,0.07464603834808801,0.6533693967137602,0.6707151289073421,0.3520047783838106,0.10036880902329753,0.1977777777777779,0.0
0.39545967364724866,0.4527476626574306,0.36327154568928566,0.7672052315295921,0.627998145168512,0.09877777777777781,0.0,0.41474564768524363,0.4424407509303893,0.39448336226521935,0.6401009451605945,0.42701549601193994,0.1488888888888889,0.0
0.3433393905027443,0.54010038323592,0.34849652216951943,0.744880905468435,0.39127025353472056,0.08804444444444456,0.2980885533184188,0.3582637333692358,0.5036074822944941,0.3429477310116953,0.8110495766012485,0.4170756410537207,0.13333333333333333,0.37334824757643553
0.32550425500461294,0.5382231674153802,0.493099446012928,0.365786099604827,0.14617622106208913,0.369419978222222,0.033047936863037496,0.2681374193187453,0.6314632285207387,0.40980793947416977,0.5605958966434232,0.12246851311423312,0.24888888888888897,0.04548844146159589
0.3746591801602991,0.37908446878446367,0.4917122153961544,0.6508676491810682,0.44503957910137687,0.10496666666666657,0.002126025354213274,0.36451634444664255,0.3863439258653205,0.48695036259829055,0.6782284253852731,0.2874921351612615,0.12000000000000001,0.0
0.21870613027701727,0.5709219570610098,0.4282761278597574,0.827502183161394,0.34508054386453424,0.12722222222222213,0.421169947800149,0.18085940975733744,0.5628706836501267,0.48954056910299076,0.7894331856581297,0.23579490233670353,0.14666666666666667,0.18258016405667413
0.7034255319253788,0.26980657455042717,0.31668994238006404,0.4028662849250646,0.31441966600166377,0.03038000000000009,0.02898956002982846,0.7141986998669222,0.15384322573875714,0.3945463192162753,0.4481356041353721,0.2440506766310711,0.03111111111111111,0.04213273676360925
0.34137266349689305,0.6633160637819775,0.3428490886291765,0.4375676664158932,0.3652039370687969,0.24487563571428583,0.003882643549589857,0.31340509012607976,0.7130196294726844,0.32580449606501277,0.4451142096468623,0.3977826185299062,0.04379365079365098,0.00037285607755406416
0.09427337701906074,0.6635455252417783,0.653987673541157,0.311021202173438,0.15032334113779455,0.001302643277777776,0.5079092716877942,0.082082805308805,0.7029038060646501,0.6313165021488092,0.31206734502025035,0.1154688850836027,0.003715777777777778,0.23639075316927666
0.4521229287364047,0.3912491120498587,0.3809002927864147,0.697109314511624,0.7537457279802797,0.06072222222222237,0.31222188665175127,0.4481440359883155,0.37906821559918225,0.3848623832960891,0.7308433953380746,0.8302973660999677,0.05333333333333334,0.2115137956748695
0.36496708430433245,0.5390433602876356,0.3079315208635134,0.7982769623495694,0.7064587553477237,0.0941,0.3118916480238634,0.45563172047581163,0.5027161774829632,0.2936746955193926,0.6456311380955893,0.37187824476047565,0.05555555555555556,0.13842654735272183
0.40945988957184976,0.671716100543853,0.24803397214635634,0.47677498948442554,0.39616345033444134,0.8155326405895699,0.0004922749547246191,0.36362049654033574,0.6163939070565584,0.29775040746857706,0.625445324588321,0.3902138857297373,0.873936507936508,2.237136465324385e-05
0.31096000992736217,0.6362602851307573,0.40655570625343773,0.4171173448724555,0.31293504175777725,0.2622813792804235,0.009905868932211225,0.3474445900869498,0.6297728343065699,0.3841884880542045,0.38540671197261045,0.32966402332838524,0.22107936507936504,7.457121551081282e-05
0.36594848301423866,0.408198504846963,0.5772966395105328,0.3469226558833916,0.19361939741494552,0.33013618936507855,0.04447065622669653,0.5129980811480656,0.22250733911969894,0.6159410759749895,0.25621978875113083,0.12312814916905201,0.2622222222222222,0.04325130499627144
0.09422425539140346,0.6145172856807283,0.682918900297923,0.35682341563986,0.15209757825170045,0.0013055732777777786,0.5582237136465316,0.05557530313542232,0.5392681050061404,0.8282676205356911,0.2521698280785949,0.11698263164363651,0.09086381191274415,0.5182699478001491
0.428123346039555,0.4714563368266658,0.40191303904966735,0.4971519715598005,0.4445447361052714,0.2939511111111106,0.03688441461595824,0.43800828538125963,0.3076332235351702,0.5636483165076189,0.42485397307670647,0.24973482792793422,0.32666666666666666,0.03131991051454139
0.37149602975050505,0.492090822249485,0.3384235668879938,0.8126778400840263,0.8301113007444944,0.09090000000000004,0.22611360924683147,0.39790623144349935,0.5801553243619287,0.24250367646753967,0.7758842162249941,0.44450369124871,0.07333333333333333,0.17412378821774796
0.20469153436030674,0.5991010031902548,0.6058367543958757,0.2694700675963674,0.25124027725202086,0.4123406326613756,0.038074322495650036,0.25412404859719656,0.49454935859709886,0.573675713286472,0.48688501184983046,0.055694493279883045,0.2686666666666668,0.08284862043251305
0.3338072171927201,0.530783313391639,0.4899212707833368,0.3812086143422489,0.6089377797679664,0.8102741269841252,0.14533586875466045,0.3605083320520187,0.46751467152427156,0.5393810577733371,0.31806641673398106,0.5612748796474778,0.5333333333333333,0.06592095451155854
